Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19701.53,236418.36,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (Ohio),,VPN Connection,0,1265,15180.00,USD,,"Working days per month (30), Number of Site-to-Site VPN Connections (2), Number of subnet associations (4)"
Increased_Cost Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,77.85,934.20,USD,,Number of NAT Gateways (1)
Increased_Cost Estimate,US East (Ohio),,Public IPv4 Address,0,14.6,175.20,USD,,"Number of In-use public IPv4 addresses (2), Number of Idle public IPv4 addresses (2)"
Increased_Cost Estimate,US East (Ohio),,AWS PrivateLink,0,514.6,6175.20,USD,,Number of VPC Interface endpoints per AWS region (2)
Increased_Cost Estimate,US East (Ohio),,Gateway Load Balancer,0,758.6,9103.20,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (100 GB per hour), Average number of new connections/flows (100000 per second), Average connection/flow duration (1 seconds)"
Increased_Cost Estimate,US East (Ohio),,Network Access Analyzer,0,120,1440.00,USD,,"Number of network assessments per month (10000), Number of ENIs (elastic network interfaces) (6)"
Increased_Cost Estimate,US East (Ohio),,Amazon EC2 ,0,1177.344,14128.13,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t4g.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (Ohio),,Application Load Balancer,0,2352.43,28229.16,USD,,Number of Application Load Balancers (1)
Increased_Cost Estimate,US East (Ohio),,Network Load Balancer,0,1439.93,17279.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (100000 per second), Average TCP connection duration (1 seconds), Processed bytes per NLB for UDP (100 GB per hour), Average number of new UDP Flows (10000 per second), Average UDP Flow duration (1 seconds), Processed bytes per NLB for TLS (100 GB per hour), Average number of new TLS connections (1000 per second), Average TLS connection duration (1 seconds)"
Increased_Cost Estimate,US East (Ohio),,Amazon CloudFront,0,430.18,5162.16,USD,,"Data transfer out to internet (4096 GB per month), Data transfer out to origin (4096 GB per month), Number of requests (HTTPS) (100000 per month)"
Increased_Cost Estimate,US East (Ohio),,S3 Standard,0,311,3732.00,USD,,"S3 Standard storage (10000 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (10000000), Data returned by S3 Select (10000 GB per month), Data scanned by S3 Select (10000 GB per month)"
Increased_Cost Estimate,US East (Ohio),,Data Transfer,0,92.16,1105.92,USD,,"DT Inbound: Internet (100 TB per month), DT Outbound: Internet (1 TB per month)"
Increased_Cost Estimate,US East (Ohio),,Amazon RDS for MySQL,0,11147.84,133774.08,USD,,"Storage amount (100 GB), Storage for each RDS instance (General Purpose SSD (gp2)), Nodes (2), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
